,power_demand,temperature,humidity,visibility,pressure,windSpeed,windBearing,precipProbability,icon,summary
2016-01-01 05:00:00,0.6589869745740529,0.4586310643098909,0.5764705882352941,1.0,0.5442383160899029,0.4006983849847228,0.7855153203342619,0.0,1,3
2016-01-01 06:00:00,0.38194625061435317,0.4560925159834524,0.5647058823529412,1.0,0.532465215840171,0.3618507202095155,0.7938718662952646,0.0,5,12
2016-01-01 07:00:00,0.43124114463971563,0.45167356148928167,0.5647058823529412,1.0,0.52764894755619,0.35792230467044955,0.7827298050139275,0.0,1,3
2016-01-01 08:00:00,0.3223129416857456,0.4502632568634825,0.6,1.0,0.5292543703175177,0.23876036665211697,0.7381615598885793,0.0,1,3
2016-01-01 09:00:00,0.6630057921530317,0.4525197442647612,0.6,1.0,0.5255083838744203,0.3090353557398516,0.7381615598885793,0.0,1,3
2016-01-01 10:00:00,0.4015351740231779,0.45035727717186913,0.611764705882353,1.0,0.5206921155904393,0.28153644696639024,0.7465181058495822,0.0,1,3
2016-01-01 11:00:00,0.31236248984584003,0.4478187288454306,0.6235294117647059,1.0,0.5194434534427395,0.28502837189000435,0.724233983286908,0.0,1,3
2016-01-01 12:00:00,0.40674207044460653,0.4484768710041369,0.6235294117647059,1.0,0.5235462004994648,0.25185508511567,0.7214484679665738,0.0,5,12
2016-01-01 13:00:00,0.26067052320493106,0.44631440391124483,0.6470588235294118,1.0,0.5206921155904393,0.26145787865560893,0.7186629526462396,0.0,0,3
2016-01-01 14:00:00,0.3115206619316226,0.45449417074088005,0.611764705882353,1.0,0.5226542989653948,0.2422522915757311,0.7103064066852368,0.0,0,3
2016-01-01 15:00:00,0.499370260717835,0.46596464836404666,0.5764705882352941,1.0,0.522297538351765,0.22435617634220864,0.6629526462395543,0.0,0,3
2016-01-01 16:00:00,1.0361516073255042,0.46549454682211355,0.5764705882352941,1.0,0.5135569033178745,0.32169358358795286,0.6657381615598886,0.0,0,3
2016-01-01 17:00:00,0.9056611038188768,0.46963144039112453,0.5411764705882353,1.0,0.49607563325008974,0.4185945002182453,0.7576601671309192,0.0,0,3
2016-01-01 18:00:00,1.5697576269576345,0.4680330951485521,0.5411764705882353,1.0,0.4803781662504466,0.41248363160192053,0.7604456824512534,0.0,2,13
2016-01-01 19:00:00,0.9121823038296119,0.4685031966904851,0.5294117647058824,1.0,0.4693185872279706,0.3321693583587953,0.7465181058495822,0.0,0,3
2016-01-01 20:00:00,0.8405825057814326,0.4626739375705152,0.5529411764705883,0.9729747968513706,0.46450231894398947,0.30947184635530334,0.724233983286908,0.0,0,3
2016-01-01 21:00:00,0.7563645169734632,0.45646859721699884,0.5647058823529412,0.9972174521391762,0.46450231894398947,0.39065910082933214,0.713091922005571,0.0,0,3
2016-01-01 22:00:00,0.9790839810352125,0.4468785257615645,0.611764705882353,0.9723636240166579,0.46771316446664285,0.34526407682234833,0.7103064066852368,0.01980262729617973,5,14
2016-01-01 23:00:00,0.8641690241312042,0.4372884543061301,0.6470588235294118,0.9556554900084877,0.4737780948983238,0.33085988651243997,0.7381615598885793,0.01980262729617973,5,14
2016-01-02 00:00:00,1.8650047678502297,0.42788642346746897,0.6705882352941176,0.9402889235535914,0.4855511951480556,0.3989524225229158,0.7604456824512534,0.0,5,14
2016-01-02 01:00:00,0.8118409125176509,0.4213050018804062,0.6470588235294118,0.99440665457865,0.4884052800570811,0.34439109559144476,0.7743732590529248,0.0,1,3
2016-01-02 02:00:00,0.6727743909221051,0.4143474990597969,0.5882352941176471,1.0,0.49054584373885074,0.3230030554343082,0.766016713091922,0.0,1,3
2016-01-02 03:00:00,0.5319606964917664,0.41011658518239946,0.5647058823529412,1.0,0.49036746343203674,0.308162374508948,0.7409470752089137,0.0,5,14
2016-01-02 04:00:00,0.6309791808483354,0.4055095900714554,0.5529411764705883,1.0,0.49304316803424825,0.3592317765168049,0.7493036211699164,0.0,1,3
2016-01-02 05:00:00,1.036524096354688,0.40127867619405794,0.5529411764705883,1.0,0.4957188726364618,0.35006547359231777,0.766016713091922,0.0,1,3
2016-01-02 06:00:00,1.1833414338189474,0.3967657013915006,0.5529411764705883,1.0,0.4966107741705316,0.3509384548232213,0.7604456824512534,0.0,1,3
2016-01-02 07:00:00,0.31195996491130434,0.3899962391876646,0.5764705882352941,1.0,0.4971459150909735,0.3509384548232213,0.7520891364902507,0.0,1,3
2016-01-02 08:00:00,0.5848007297648244,0.39291086874764947,0.5882352941176471,0.9946890219480459,0.5001783803068149,0.34919249236141425,0.7437325905292479,0.0,1,3
2016-01-02 09:00:00,0.5859887535165178,0.39667168108311396,0.5882352941176471,1.0,0.49678915447734556,0.31514622435617634,0.724233983286908,0.0,5,14
2016-01-02 10:00:00,0.7610939496725548,0.39074840165475744,0.6,0.9974969687522106,0.5071352122725657,0.28240942819729375,0.7075208913649025,0.0,5,14
2016-01-02 11:00:00,0.4620239593204308,0.38839789394509217,0.5882352941176471,1.0,0.5149839457723863,0.2928852029681362,0.7075208913649025,0.0,5,14
2016-01-02 12:00:00,0.7369567081159278,0.3882098533283189,0.5764705882352941,1.0,0.522119158044951,0.3430816237450895,0.7047353760445683,0.0,0,3
2016-01-02 13:00:00,1.069503829336973,0.40833019932305376,0.5058823529411766,1.0,0.5296111309311456,0.3478830205150589,0.7075208913649025,0.0,0,3
2016-01-02 14:00:00,0.37549833399741295,0.42092892064685977,0.4705882352941177,1.0,0.5342490189083128,0.40899170667830637,0.7186629526462396,0.0,0,3
