timestamp,House overall [kW],temperature,humidity,visibility,pressure,windSpeed,windBearing,precipProbability,icon,icon,summary,summary
2016-01-01 05:00:00,0.7199068104400733,0.4292058940286624,0.5643856209150312,0.9971820527908857,0.4802705434653363,0.3375663223240747,0.6977344475394633,0.0006380846573213476,1.6316666666666666,1,5.928333333333334,3
2016-01-01 06:00:00,0.6992357218492855,0.2953648510300407,0.534143790849673,0.997641387989435,0.6735847504657776,0.361736990154711,0.8184602290312522,0.0,1.1094444444444445,4,4.2283333333333335,14
2016-01-01 07:00:00,0.6271866095654722,0.34671054281058317,0.5702418300653563,0.99799273387475,0.7331924128909467,0.16753164556961997,0.36530021665119816,0.0,0.6427777777777778,1,3.213888888888889,3
2016-01-01 08:00:00,0.6869023810869613,0.4945176758179712,0.7705228758170201,0.946173040501546,0.47220051928489815,0.29021436539114576,0.3235066542866007,0.11405236413061216,2.9316666666666666,5,7.716111111111111,14
2016-01-01 09:00:00,0.6918686312068978,0.3488500271614172,0.5092679738562031,0.9660471543050576,0.4381067903436777,0.4169123138852478,0.6721293717115275,0.0130269925978629,1.7616666666666667,0,5.352222222222222,3
2016-01-01 10:00:00,0.6180122713830549,0.3856229890100746,0.6853529411764817,0.9667268611187325,0.4155972767273186,0.19739560599447403,0.4265908387496204,0.06283704473677312,2.1372222222222224,1,5.996666666666667,3
2016-01-01 11:00:00,0.7226486238960868,0.3854501483431484,0.6017647058823484,0.9761550702351353,0.355138145637605,0.4022452592269296,0.7170829464562077,0.007157474872632753,2.053888888888889,0,6.383333333333334,3
2016-01-01 12:00:00,0.7535856068724576,0.3257411934311064,0.45935294117646625,0.9967322808497407,0.5344754627977947,0.5354457054173255,0.8379155060352824,0.0,1.0233333333333334,1,3.435,3
2016-01-01 13:00:00,0.621392031808839,0.32735661902971236,0.4559150326797441,0.9838654769619452,0.5579672573036648,0.4495285901353151,0.3537944908697007,0.007185940738900166,1.3955555555555557,0,3.9344444444444444,3
2016-01-01 14:00:00,0.6989622019704471,0.39931595002298365,0.529934640522871,0.9968299364255002,0.5737214096008217,0.2702073330423405,0.6682667904673508,0.00016031088596770823,0.8227777777777778,1,3.7088888888888887,3
2016-01-01 15:00:00,0.5706100860548001,0.42816592495090416,0.6059542483660119,0.9966364138973299,0.4487221033020135,0.2921574761142559,0.6613354998452553,0.0,1.4388888888888889,1,5.126666666666667,3
2016-01-01 16:00:00,0.6041163283721123,0.450822155363337,0.5357777777777742,0.9929041462005681,0.4202650929559609,0.3427253989039269,0.6460600433302428,0.0009524502944497664,0.9316666666666666,0,3.8538888888888887,3
2016-01-01 17:00:00,0.6124115839302685,0.48281199072333436,0.6356993464052357,0.9781413030962687,0.5729051214968119,0.25522285270866485,0.6416945218198592,0.056362049745848075,1.3138888888888889,1,4.268888888888889,3
2016-01-01 18:00:00,0.5008104827391887,0.4961976097948364,0.6822875816993509,0.9254399760434318,0.5469777421017188,0.3819552354624327,0.7743902816465469,0.10928805272748232,2.828888888888889,6,6.806111111111111,15
2016-01-01 19:00:00,0.5542868841352706,0.391434906606485,0.6190000000000152,0.9271954677256418,0.5830628889681572,0.29471021873029574,0.3542664809656459,0.020554881702305947,1.373888888888889,1,4.228888888888889,3
2016-01-01 20:00:00,0.7100886028032958,0.35010023609543445,0.7490718954247945,0.8900980323406135,0.31846355095731155,0.19073087928609525,0.4726431445372964,0.06250458975022509,3.676111111111111,7,7.4927777777777775,11
2016-01-01 21:00:00,0.7034358860471587,0.23044090301283013,0.4641045751633893,0.9912846979192679,0.5306915209894262,0.4689063485135108,0.7316372640049839,0.0,1.3333333333333333,4,5.285555555555556,14
2016-01-01 22:00:00,0.755083076531323,0.18988665329489024,0.5882222222222377,0.8994420956374769,0.7458593966781686,0.24690770648431234,0.5344274218508093,0.09105272572337218,2.243888888888889,1,6.007777777777778,3
2016-01-01 23:00:00,0.7695057165944172,0.42116987380384496,0.5708104575163283,0.9795370579131241,0.5649071431402833,0.4287576992094749,0.8250402352212828,0.06248692754382262,1.915,6,5.727777777777778,10
2016-01-02 00:00:00,0.6588259493433191,0.4898275249676218,0.4873398692810578,0.9978486480529546,0.5570987434098323,0.3752871138270476,0.618825441039921,0.014861866502608167,1.1227777777777779,1,4.530555555555556,3
2016-01-02 01:00:00,0.6083058782542264,0.4348627303497651,0.5846405228758214,0.9603841918187015,0.655137749236933,0.27314418739997004,0.4730996595481216,0.055372739344880864,1.6383333333333334,0,4.731111111111111,3
2016-01-02 02:00:00,0.6673672962294556,0.49348104968451106,0.6943006535947681,0.90542556085952,0.26122031949894936,0.5357454289732774,0.5560306406685207,0.22626953921112464,3.6061111111111113,6,8.132222222222222,4
2016-01-02 03:00:00,0.5688394966812313,0.461985291045094,0.46590849673201956,0.9990677449852685,0.4385988226899653,0.3717740918570236,0.6073382853605716,0.003954486495882856,0.6283333333333333,1,3.0661111111111112,3
2016-01-02 04:00:00,0.5988610254775535,0.45979242405249005,0.4993660130719078,0.9803492753101835,0.42117661632377595,0.42471943353217034,0.672070566388114,0.0985127964167411,2.0644444444444443,6,5.705,10
2016-01-02 05:00:00,0.514208823324906,0.3636837156825901,0.44835947712418267,0.989315383126609,0.6281627819399679,0.33023134002619664,0.44104921077065784,0.0007860637560630731,1.1333333333333333,1,4.433888888888889,3
2016-01-02 06:00:00,0.5277210673261022,0.4398030274539345,0.49008496732025,0.9956400083399098,0.6309618662544096,0.19318807895630324,0.6293670690188786,0.0,1.3983333333333334,0,5.2555555555555555,3
